,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,split
4409,Yellows,2.0,154.645123877,24539.9045047,Education,51.5483746256,No,476.0558346,Yes,Male,After_16:00,0.79671643558,0.0108785245102,1.7609780468,6.0909071262,2.02391906874,9.6068162052,8567.0,49.3001575815,602.931150375,5966.42064675,70233.6527063,Yes,226629.157657,24.5546563889,728142.61791,34.3282810645,2718.78330116,100.0,45_and_up,1.0,892.55256419,5.0,Foot_or_bicycle,Student_or_Unemployed,604.617890786,1.0,No,train
4410,Purples,9.0,-257.322659819,-68273.0181358,Environment,-85.7742199397,Yes,795.961982328,No,Male,After_16:00,0.432828631485,0.252266590949,4.43400954828,4.26102416357,4.76023212774,5.756572627,4416.0,27.6107694255,685.307146407,9330.23411609,79478.0792321,No,633555.477311,26.1783717295,940581.303721,51.7042377498,7281.44258633,90.0,Below_30,3.0,938.158582608,14.0,Motorcycle_or_truck,Services_or_Retail,483.571905218,0.0,Yes,train
4411,Reds,10.0,114.828386043,21421.1513257,Social,38.2761286811,No,559.647803051,No,Female,By_16:00,0.802627610741,0.20122037665,4.31401159614,0.556137950625,6.16439224919,4.09812379628,5431.0,86.6429209709,625.831766155,6848.14156282,74783.0004193,Yes,313205.66346,25.0166297921,784561.422795,54.3903577374,1513.3381555,70.0,45_and_up,1.0,949.701336694,19.0,Foot_or_bicycle,Hightech,660.975933697,0.0,No,train
4412,Reds,10.0,157.856629406,29787.8633294,Healthcare,52.6188764686,No,566.106031306,No,Female,By_16:00,0.080433816649,0.17666243366,5.76869823271,7.58735940326,7.38940985175,1.00003468571,8872.0,93.6442425242,605.46473173,6871.98977652,74490.7328123,Yes,320476.038681,24.6061929548,734465.525801,65.2722942643,2831.36503729,80.0,45_and_up,0.0,958.697377812,18.0,Foot_or_bicycle,Student_or_Unemployed,714.337032248,2.0,No,train
4413,Yellows,4.0,129.422944763,22120.3172848,Education,43.1409815876,No,512.744876698,No,Male,By_16:00,0.519251919584,0.590372842038,1.10836617881,7.29668438435,7.08408912644,5.78196548624,6435.0,75.0748056453,564.674137476,6256.79704193,72160.6527053,Yes,262907.30858,23.7628730897,639030.858329,21.073019295,1914.28527393,100.0,45_and_up,5.0,956.656402774,4.0,Public_or_other,Industry_or_other,794.350382751,1.0,No,train
4414,Oranges,9.0,479.451380048,65430.4950098,Social,159.817126683,No,409.408530662,Yes,Male,After_16:00,0.32761962316,0.480546484003,2.79414040968,1.88406770118,6.33458581055,6.27717191586,8786.0,26.023460133,577.268739732,5248.62278608,70256.5438731,Yes,167615.344979,24.0264175384,667641.939042,25.3209714545,25711.3311078,70.0,30-45,2.0,932.550103027,14.0,Public_or_other,Industry_or_other,744.134768404,0.0,No,train
4415,Blues,4.0,323.052494863,42515.7786565,Financial,107.684164954,No,394.81922597,Yes,Male,By_16:00,0.355656955391,0.225408573402,6.82838613167,6.77178697195,2.75415928802,7.2448346368,8218.0,49.5103123365,562.573096446,5073.33845259,64765.9061154,Yes,155882.221196,23.7186234096,633949.106984,56.5082814544,11713.5635469,60.0,30-45,1.0,829.452743273,1.0,Motorcycle_or_truck,Student_or_Unemployed,567.310067748,0.0,No,train
4417,Greys,7.0,278.585233448,38631.8440425,Education,92.8617444826,No,416.014627528,Yes,Male,After_16:00,0.114696887787,0.560428965837,0.31151083298,8.42120904243,2.86278652726,6.13904509926,5871.0,83.9499104768,591.399269733,5342.94481474,70959.282329,Yes,173068.170317,24.3187020569,700652.863287,45.2464113245,8726.16533283,100.0,Below_30,2.0,934.188894259,7.0,Public_or_other,Services_or_Retail,720.656177492,0.0,No,train
4418,Oranges,2.0,189.870424503,31018.5455171,Financial,63.290141501,No,490.100745258,Yes,Female,By_16:00,0.864759493852,0.964558127336,4.8766546906,8.25703910319,7.13304767851,8.38369932259,4107.0,80.5986737832,619.709333382,6140.42611934,76805.9820848,Yes,240198.740502,24.8939617856,769401.047932,97.4154052325,4078.93215272,60.0,45_and_up,2.0,1017.56418641,5.0,Foot_or_bicycle,Industry_or_other,821.631423688,3.0,No,train
4419,Whites,10.0,206.627459488,53435.8781426,Military,68.8758198294,No,775.829286315,No,Male,By_16:00,0.655334156472,0.055304268375,3.43844495481,8.00555319292,8.42259784462,3.79096420249,6037.0,65.7218183391,785.982268856,9330.25740086,98660.7405851,Yes,601911.081503,28.0353753115,1237304.39021,71.8243442941,4822.754377,30.0,45_and_up,1.0,1276.12047515,18.0,Foot_or_bicycle,Industry_or_other,982.307009099,0.0,Yes,train
4420,Blues,3.0,436.008201465,66154.6842907,Financial,145.336067155,No,455.184219483,Yes,Male,After_16:00,0.193504024297,0.179654404521,6.31185587263,8.30565307755,7.46733165812,1.92451336421,4433.0,79.4942923123,577.831280856,5707.50475655,68146.0509806,Yes,207192.673667,24.0381214086,668859.74583,94.7469160659,21277.9084832,60.0,Below_30,3.0,873.858243867,2.0,Car,Services_or_Retail,616.583338297,2.0,No,train
4421,Oranges,3.0,228.204519586,60019.4298958,Environment,76.0681731954,No,789.021575969,No,Male,By_16:00,0.240270233247,0.156443627784,2.6540760533,6.65197638562,9.78867880767,3.47168615321,8906.0,1.72137853224,843.408236267,9577.03223223,96931.1382323,Yes,622555.047345,29.041491633,1424171.54117,6.42908774316,5872.43514648,90.0,30-45,1.0,1186.77636457,17.0,Car,Public_Sector,697.613588675,2.0,No,train
4423,Greys,9.0,405.751995444,62088.4483378,Healthcare,135.250665148,No,459.062055405,Yes,Female,After_16:00,0.897770762211,0.543443131261,0.111132354941,7.57153341779,1.07433965662,1.45400560228,5766.0,96.4147747029,625.287915522,5841.1963851,75188.0361578,Yes,210737.970713,25.0057576474,783193.840476,31.6788531141,18437.9930882,80.0,Below_30,2.0,986.077241992,1.0,Foot_or_bicycle,Public_Sector,754.823824965,3.0,No,train
4424,Yellows,5.0,315.761713344,44318.5482469,Education,105.253904448,No,421.063223064,Yes,Female,By_16:00,0.0531483129598,0.676448425977,4.34878659667,4.83581631212,5.49836044898,3.08006805833,4048.0,76.9502995769,634.346028186,5479.32428701,77378.9323886,,177294.237817,25.1862269541,806067.489971,35.1239928976,11193.638306,100.0,Below_30,1.0,1036.3476464,18.0,Car,Hightech,,0.0,No,train
4426,Yellows,3.0,286.306801461,51679.2310428,Healthcare,95.4356004872,No,541.508941935,No,Female,By_16:00,0.898320609936,2.08807177842e-05,4.01500378503,9.75384779507,3.31238701008,7.57703353418,9243.0,81.0023188591,669.994805974,6755.0790313,80532.5140893,Yes,293231.934196,25.8842578795,899108.340207,28.7580186501,9213.38944083,80.0,45_and_up,2.0,1042.52181954,17.0,Foot_or_bicycle,Hightech,770.751199933,1.0,No,train
4427,Pinks,3.0,726.573890647,69294.4353619,Military,242.191296882,No,286.114473369,Yes,Male,After_16:00,0.879545973148,0.444619433954,5.05341983167,0.511563417967,2.44198789354,7.45297462912,3186.0,10.470365244,233.973236056,3329.0912058,44511.1671662,Yes,81861.491871,15.2961837089,110693.037126,31.4915738767,58908.8155824,30.0,45_and_up,1.0,694.17349532,19.0,Public_or_other,Hightech,909.972271065,2.0,Yes,train
4431,Greens,5.0,457.264258469,103546.095747,Other,152.42141949,No,679.340843915,No,Female,After_16:00,0.208990902873,0.648677667836,3.43220250914,1.24292896828,7.81607538695,0.617664481979,6799.0,38.1764639402,556.012585852,7905.43361085,63553.1705498,Yes,461503.982211,23.5799191231,619316.435109,23.2787991175,23394.7105387,50.0,Below_30,2.0,731.896918943,17.0,Public_or_other,Public_Sector,327.10301457,1.0,Yes,train
4432,Blues,5.0,972.150551941,136168.28251,Social,324.05018398,No,420.207391453,Yes,Female,By_16:00,0.412348460173,0.369987923419,0.817959087435,9.25950227305,8.5437801131,9.49062068015,9751.0,28.5123975016,556.506124825,5315.08616418,65315.6690834,Yes,176574.251832,23.5903820407,620421.891476,0.709001277573,105342.571922,70.0,Below_30,0.0,839.651326329,10.0,Public_or_other,Public_Sector,593.550149683,1.0,No,train
4433,Oranges,1.0,283.818871481,41095.4701968,Education,94.6062904936,No,434.384119517,Yes,Male,After_16:00,0.261020869482,0.00586077058688,1.32125511067,8.1335135363,4.54951898428,8.16400671145,3018.0,33.3414421882,626.16080913,5596.16281343,75738.5828464,Yes,188689.563288,25.0232054128,785393.066601,40.6763203442,9054.95649146,100.0,45_and_up,1.0,1003.96548983,15.0,Foot_or_bicycle,Public_Sector,793.964699314,1.0,No,train
4434,Blues,8.0,172.415499668,34784.7913495,Financial,57.4718332226,No,605.249378678,No,Male,By_16:00,0.754090857692,0.514999878127,5.80125883687,8.83658522274,6.07978466433,9.1028353665,5065.0,22.0375721343,660.540913367,7373.57561352,78104.6684744,Yes,366326.810391,25.7009905133,873894.809146,86.4197734976,3370.48344719,60.0,30-45,1.0,980.493411366,19.0,Motorcycle_or_truck,Industry_or_other,650.963302935,0.0,No,train
4435,Blues,4.0,179.447226085,25345.9445895,Financial,59.8157420284,No,423.733681636,Yes,Female,After_16:00,0.94265171187,0.631897522369,1.07209619833,4.03458509129,1.39356026193,6.67526779696,6800.0,60.778375552,584.372921944,5406.08266025,68440.9430679,Yes,179550.232953,24.1738065257,684047.054732,10.6490100268,3647.73873644,60.0,45_and_up,2.0,883.257622361,13.0,Car,Hightech,629.897248897,0.0,No,train
4437,Yellows,3.0,329.906179405,44954.0857481,Healthcare,109.968726468,No,408.789727696,Yes,Female,After_16:00,0.751022894401,0.317665771348,4.56597819692,8.92994719557,4.83554715058,5.47464961652,8742.0,82.9342750367,580.683379665,5249.26403629,69264.8339112,Yes,167109.04147,24.0973728789,675494.761878,13.378896378,12213.0895275,80.0,Below_30,2.0,908.292670275,15.0,Public_or_other,Services_or_Retail,689.597311614,1.0,No,train
4438,Oranges,2.0,473.381454782,69231.6633434,Healthcare,,No,438.747627167,Yes,Male,By_16:00,0.227668658597,0.820255310973,3.32874440588,5.58969356818,2.86539960187,7.53365468001,8293.0,46.600184706,582.750831005,5552.97793368,73009.3446264,Yes,192499.480344,24.1402326212,680468.877897,83.5663721431,25066.6828995,80.0,30-45,3.0,979.884608103,1.0,Motorcycle_or_truck,Hightech,823.068194964,1.0,No,train
4439,Purples,9.0,18.1667325636,1390.44585541,Environment,6.05557752122,Yes,229.61407901,Yes,Male,After_16:00,0.265241320012,0.557186641498,8.92545816023,9.96974009322,9.34029507916,5.08648412069,7161.0,34.4135570573,546.548196098,3389.2371823,60429.8856719,No,52722.6252798,23.3783702618,598226.109771,54.417698551,52.7255966367,90.0,45_and_up,2.0,793.171972235,7.0,Car,Hightech,556.634375691,0.0,Yes,train
4440,Blues,5.0,277.601800236,37279.6559238,Financial,92.5339334119,No,402.875513331,Yes,Female,After_16:00,0.614361457527,0.242206810042,5.89875478297,9.17313944781,8.65722791059,9.2813800741,6248.0,94.2535371287,565.605212051,5159.96555741,65434.6411917,Yes,162308.679241,23.7824559718,640811.271681,74.8199390713,8665.06276609,60.0,45_and_up,2.0,839.274426984,12.0,Car,Services_or_Retail,579.88436961,1.0,No,train
4441,Yellows,2.0,402.68157581,55384.3889831,Social,134.227191937,No,412.61675957,Yes,Female,By_16:00,0.577680608723,0.434342068387,2.64895324362,3.22597078513,0.0307802343741,2.33107341686,7793.0,26.1379063595,639.482105898,5405.1318075,73663.6643107,Yes,170252.590278,25.2879834289,818970.84911,62.0438237442,18161.1662472,70.0,Below_30,1.0,953.547982704,14.0,Motorcycle_or_truck,Student_or_Unemployed,673.504822877,0.0,No,train
4443,Blues,10.0,344.796690046,46257.0679124,Healthcare,114.932230015,No,402.472551923,Yes,Female,After_16:00,0.672504371265,0.313228012761,8.76983937109,6.47993489867,6.06831311947,3.22022800334,9622.0,61.4457156044,567.354452088,5159.4344234,65888.4979396,Yes,161984.155051,23.819203431,644788.451959,5.67340916023,13334.3497263,80.0,45_and_up,2.0,847.781661852,6.0,Car,Services_or_Retail,593.830799561,0.0,No,train
4445,Yellows,4.0,120.016335516,13849.6318773,Social,40.0054451719,No,346.193669832,Yes,Female,After_16:00,0.957972593373,0.47279925202,2.14934301563,0.69643354509,4.14471620461,4.84048703685,3131.0,41.4628820959,613.494542106,4688.92578253,69146.0366317,Yes,119850.057032,24.7688219765,753723.873139,67.6681825193,1650.44108857,70.0,30-45,1.0,895.050995664,13.0,Public_or_other,Student_or_Unemployed,616.573081571,0.0,No,train
4446,Greys,1.0,404.692156075,88486.5869902,Social,134.897385358,No,655.954796715,No,Male,By_16:00,0.985467882827,0.738591446076,6.19049209869,0.220797120128,3.53857573587,3.97490051808,4149.0,43.4386627749,607.51269247,7774.57335209,74809.0445645,Yes,430276.695333,,739463.941196,40.829485422,18342.2019619,70.0,45_and_up,2.0,939.678590345,3.0,Foot_or_bicycle,Hightech,654.643374901,0.0,No,train
4447,Blues,6.0,1005.05878064,125144.13155,Financial,335.019593548,No,373.542723948,Yes,Female,After_16:00,,0.335650940891,2.25192124024,8.89413687401,1.70663259458,5.75329867657,5546.0,91.4375585504,572.309703315,4880.04664611,65787.1092692,Yes,139534.166615,23.9229952831,656053.905597,28.6699096905,112583.147654,60.0,45_and_up,0.0,849.217933572,11.0,Public_or_other,Services_or_Retail,593.569856387,0.0,No,train
4451,Yellows,7.0,785.43930656,109727.967862,Healthcare,261.813102187,No,419.108008519,Yes,Female,After_16:00,0.118106924463,0.126147371484,6.41796017298,5.32260979526,1.45887641935,7.95215777121,3629.0,45.4288205365,544.48215963,5280.04440445,63757.639764,Yes,175651.522805,23.3341415019,593919.19714,17.946353578,68817.9135788,80.0,Below_30,1.0,816.167154276,7.0,Motorcycle_or_truck,Industry_or_other,568.444819513,0.0,No,train
4452,Oranges,5.0,728.132984424,95489.0590424,Education,242.710994808,No,393.427002011,Yes,Male,By_16:00,0.331558571896,0.124874405796,8.72572159395,1.97233886924,8.63078642404,8.66001117043,9513.0,8.81655735429,588.500071009,5111.27016212,71354.0670725,Yes,154784.805911,24.259020405,693832.694259,58.2252877299,59161.3379956,100.0,45_and_up,2.0,951.292815361,17.0,Foot_or_bicycle,Student_or_Unemployed,764.600102504,2.0,No,train
4453,Greys,2.0,158.742172517,23409.3505601,Social,52.9140575056,No,442.403241476,Yes,Male,By_16:00,0.619969803607,0.0973139742855,4.46712522302,0.814101465512,6.43620374613,5.29890604783,6718.0,81.38852478,579.370216985,5582.77284873,70831.0714541,Yes,195720.628069,24.0701104481,672529.517248,21.7734347563,2862.81153921,70.0,45_and_up,2.0,934.382193135,3.0,Motorcycle_or_truck,Student_or_Unemployed,737.417347401,0.0,No,train
4454,Greys,1.0,223.83062455,33031.0163769,Education,74.6102081832,No,442.714437893,Yes,Male,After_16:00,0.941918906756,0.616160482401,8.60974120442,8.32416688325,7.0586823835,2.35056505306,8423.0,77.1301858826,602.417891019,5631.98016096,72400.9615278,Yes,195996.073518,24.5442027986,726992.622877,9.0249234112,5651.29337332,100.0,30-45,1.0,949.086345752,5.0,Car,Public_Sector,725.277600092,1.0,No,train
4456,Browns,10.0,1359.35063552,278677.351493,Healthcare,453.116878506,Yes,615.023109296,No,Female,After_16:00,0.191445432371,0.335941768019,9.47490240913,8.24785592267,2.84042298095,8.94809705205,8194.0,91.0878753522,53.0958415127,6256.42277598,29376.2280574,No,378253.424968,7.28668933828,6901.32370197,26.1344910599,205778.022465,80.0,45_and_up,3.0,428.270478689,2.0,Car,Industry_or_other,637.963820797,1.0,No,train
4457,Yellows,9.0,744.936840659,110302.384566,Social,248.31228022,No,444.20833504,Yes,Male,By_16:00,0.935196892591,0.784771515056,3.38871765416,2.45617631823,0.0880340090953,1.94548088359,7109.0,1.4308312675,585.583590232,5613.25053086,73186.1102281,Yes,197321.044919,24.1988344809,687087.355039,63.3914727485,61917.3007882,70.0,Below_30,0.0,979.878267187,13.0,Motorcycle_or_truck,Hightech,816.864404948,1.0,No,train
4458,Yellows,8.0,228.893335746,38172.1810475,Education,76.297778582,No,500.305274373,No,Female,By_16:00,0.831303340383,0.690581778297,9.83056622557,8.07054218603,9.7212686995,6.28009381471,9989.0,64.5106376149,683.342546277,6369.73783629,82727.8345808,Yes,250305.367566,26.1408214538,935274.604258,66.7037515901,5907.64879513,100.0,Below_30,2.0,1090.15275853,18.0,Motorcycle_or_truck,Services_or_Retail,850.227878881,2.0,No,train
4459,Greens,4.0,237.300902961,75044.3465062,Foreign_Affairs,79.1003009869,No,948.72390585,No,Female,After_16:00,0.195054790936,0.499157181708,1.09236571239,3.9327102853,1.28727603238,3.41813196428,7948.0,13.115380914,967.603888568,11422.4468356,114666.089942,Yes,900077.049531,31.106331969,1874391.96696,59.2091809493,6345.95791721,40.0,30-45,2.0,1425.05224807,20.0,Motorcycle_or_truck,Industry_or_other,918.672715547,0.0,Yes,train
4460,Reds,10.0,255.503052841,56069.9472818,Financial,85.1676842802,No,658.347679119,No,Female,By_16:00,0.466174312402,0.869784404757,6.93542409455,7.8496243828,7.24118786165,5.31243266538,3793.0,56.4048002008,719.042962522,8021.56271623,85873.789549,Yes,433421.666601,26.8149764595,1035459.9308,9.46224252693,7348.70212993,60.0,Below_30,2.0,1085.98304292,16.0,Foot_or_bicycle,Hightech,746.019217486,0.0,No,train
4461,Yellows,3.0,376.219557179,44048.2016702,Financial,125.40651906,No,351.243316539,Yes,Male,By_16:00,0.495556554059,0.905659637181,5.85453317733,6.41329125268,4.45085897576,7.78811683413,3854.0,53.8898787927,614.729931527,4741.89302845,68930.4027767,Yes,123371.867414,24.7937478314,756746.18909,57.320946781,15862.2015418,60.0,30-45,2.0,887.965441188,4.0,Public_or_other,Industry_or_other,599.168342319,0.0,No,train
4462,Yellows,7.0,68.0366994722,12279.849327,Social,22.6788998241,No,541.465830453,No,Female,After_16:00,0.261004159693,0.0266799246892,8.18489929894,6.25936418539,7.60320063215,8.72546145925,4538.0,73.9062207518,657.214262287,6729.08682911,81221.6778231,Yes,293185.245549,25.6361904792,865257.839707,60.7725407928,547.011397054,70.0,45_and_up,2.0,1068.23980437,17.0,Foot_or_bicycle,Hightech,845.200770543,0.0,No,train
4465,Browns,10.0,1056.03876541,281789.773346,Healthcare,352.012921803,Yes,800.509742375,No,Male,After_16:00,0.918796233833,0.645947027486,0.0637684948742,5.3585249302,0.0837674853392,2.24741590209,8040.0,78.9489693707,621.889669434,9248.87676262,82630.7387724,No,640815.847637,24.9377158022,775141.896839,22.7752438746,124275.110038,80.0,45_and_up,1.0,1058.68427667,13.0,Motorcycle_or_truck,Public_Sector,837.865199882,1.0,No,train
4468,Blues,9.0,437.13029224,81257.9595568,Environment,145.710097413,No,557.668692831,No,Male,By_16:00,0.659764237935,0.98339810106,1.38442885363,8.23863694444,2.58421283215,1.97913207114,5639.0,43.544084602,641.640398587,6859.96772548,76133.9006195,Yes,310994.370964,25.3306217568,824638.657888,1.70554784127,21387.1425856,90.0,30-45,3.0,966.336727021,7.0,Motorcycle_or_truck,Industry_or_other,666.18699802,2.0,No,train
4469,Yellows,9.0,170.982695602,24212.8904753,Environment,56.9942318673,No,424.830543057,Yes,Male,After_16:00,0.101671455428,0.372488301713,3.4137186408,1.4602831658,2.72339113755,9.36840751674,9348.0,39.1333348816,576.368078254,5401.04158708,66553.585903,Yes,180480.990314,24.0076670723,665410.024257,37.7604486886,3315.33669801,90.0,Below_30,3.0,848.649551053,9.0,Car,Public_Sector,574.870452636,1.0,No,train
4470,Yellows,9.0,385.188289094,50080.841244,Education,128.396096365,No,390.049562735,Yes,Male,After_16:00,0.769744702382,0.384897516808,3.36089177756,7.73357914761,0.209533476736,0.00704174628481,5853.0,68.3981791371,582.485595297,5065.46681794,67870.1447608,Yes,152138.66139,24.1347383515,679615.528522,98.2619729359,16623.9536581,100.0,30-45,1.0,881.512743576,20.0,Foot_or_bicycle,Services_or_Retail,636.54150307,0.0,No,train
4472,Yellows,1.0,,110460.286175,Financial,278.425257735,No,396.732275923,Yes,Male,After_16:00,0.549759718589,0.974949279567,2.08160949172,1.72905509127,9.80179141276,7.36223718151,3740.0,88.656552718,632.716565382,5232.75588999,71657.4113248,Yes,157396.498759,25.1538578628,801688.785947,64.8742751684,77809.0494023,60.0,Below_30,1.0,919.892862599,20.0,Foot_or_bicycle,Hightech,621.549452325,3.0,No,train
4474,Pinks,10.0,120.390010883,34416.8613895,Military,40.1300036276,No,857.634145985,No,Female,By_16:00,0.666864986066,0.325902343728,8.83475308539,6.13182850648,1.76412551198,6.30285584135,5447.0,41.8072917266,589.947323781,9756.23610741,81901.5142563,Yes,735536.32836,24.288831256,697818.365029,18.1223299354,1660.54719478,30.0,30-45,1.0,,3.0,Public_or_other,Industry_or_other,875.04121183,3.0,Yes,train
4475,Greys,7.0,267.518123369,53869.2581291,Financial,89.1727077896,No,604.100284318,No,,By_16:00,0.281621937873,0.172897178214,,1.27145248931,2.7084780857,8.24443368707,8125.0,97.7819300024,598.993798124,7238.99043942,73152.500495,Yes,364937.153513,24.4743497998,718851.81857,65.8520724159,8050.94452231,60.0,Below_30,3.0,924.793399172,6.0,Public_or_other,Services_or_Retail,650.577904857,4.0,No,train
4478,Blues,8.0,288.043442835,58077.6482734,Social,96.0144809449,No,604.884260185,No,Female,After_16:00,0.514330495149,0.94444397022,6.92886479432,3.19359753747,,1.61081783473,7854.0,36.1895554233,654.500272593,7357.84314703,78979.7776885,Yes,365884.968219,25.5832029385,858066.390232,6.40262893867,9324.79503207,70.0,45_and_up,2.0,1004.68483348,1.0,Public_or_other,Student_or_Unemployed,710.292324258,0.0,No,train
4479,Yellows,8.0,241.034409922,34702.9293259,Education,80.3448033074,No,431.925001958,Yes,Female,After_16:00,0.276282200823,0.841753862798,7.31591882184,5.07173827151,1.83387836441,9.04447652865,9082.0,59.9732847419,608.43692008,5536.12385974,69484.7828402,Yes,186559.207317,24.6665141453,741418.422705,7.67918396741,6545.63222181,100.0,Below_30,1.0,883.548863062,2.0,Public_or_other,Hightech,585.526269587,0.0,No,train
4484,Pinks,2.0,196.699165722,59118.8268247,Other,65.566388574,No,901.663613179,No,Male,After_16:00,0.834179658676,0.829297034536,3.17245135782,2.69776856992,8.67553930962,0.260153647978,4826.0,37.732411921,845.234545413,10707.1052226,104652.930705,Yes,812997.271331,29.0729177313,1430698.27129,77.7444800595,4374.51769921,50.0,Below_30,1.0,1322.74453149,17.0,Public_or_other,Industry_or_other,943.734158604,0.0,Yes,train
4487,Yellows,10.0,364.269840354,46562.4457287,Education,121.423280118,No,383.472145402,Yes,Male,After_16:00,0.0332134203054,0.56815239205,8.38645886164,2.69776408328,4.50463647256,9.83588377945,4136.0,70.001062355,542.34884066,4919.41913534,64398.7069213,Yes,147050.886299,23.2883842432,589308.079172,59.9341545021,14875.0362348,100.0,30-45,1.0,841.499718887,14.0,Public_or_other,Hightech,630.077095504,0.0,No,train
4488,Oranges,5.0,856.17907659,134349.633588,Environment,285.39302553,No,470.753037284,Yes,Male,After_16:00,0.0445804914925,0.0607036077417,5.83265482448,9.89666862413,5.82267056219,3.56353961863,9117.0,79.321428109,613.042446808,5933.61526646,76192.4675523,Yes,221608.422112,24.7596939967,752955.282743,13.5551754385,81744.5720466,90.0,30-45,3.0,1015.03677051,16.0,Foot_or_bicycle,Industry_or_other,832.4465293,0.0,No,train
4489,Whites,10.0,61.070378013,15806.1062342,Military,20.356792671,No,776.453662897,No,Female,After_16:00,0.620470502181,0.571381348651,0.331773404032,9.47694040602,3.31391336862,6.46383648738,7432.0,88.8446597615,808.364166097,9381.26496116,97868.3193018,Yes,602880.290625,28.4317457448,1308561.24606,56.9786409847,444.75580052,30.0,45_and_up,1.0,1239.94428414,7.0,Motorcycle_or_truck,Public_Sector,869.54233673,0.0,Yes,train
4490,Oranges,3.0,276.425944334,39363.2474212,Healthcare,92.1419814446,No,427.20209403,Yes,Male,By_16:00,0.656432360411,0.141686932882,3.10275305528,4.52357800212,4.5761967008,9.1152736661,3223.0,72.07193824,572.966094367,5417.95312903,71243.6316392,Yes,182501.629144,23.9367101826,657806.358268,11.1992742866,8592.28672598,80.0,45_and_up,5.0,952.822487623,6.0,Public_or_other,Services_or_Retail,788.86558658,1.0,No,train
4491,Yellows,4.0,153.833552565,21904.7443202,Financial,51.2778508551,No,427.177503638,Yes,Female,After_16:00,0.301931680646,0.713056785055,8.8041865197,1.80568009382,4.19842849486,4.63583141565,7858.0,3.77684347332,607.999408665,5487.77385371,71023.1064918,Yes,182480.619614,24.657644021,740421.180083,66.2692257669,2690.69583918,60.0,Below_30,4.0,918.637571135,6.0,Foot_or_bicycle,Hightech,657.440705945,0.0,No,train
4492,Blues,3.0,312.042269109,66181.7419941,Financial,104.014089703,No,636.27670235,No,Female,By_16:00,0.938482176512,0.699685670901,9.23644315219,7.98633553321,1.89113677479,2.65535386512,6164.0,69.6701460052,696.065086457,7754.89719642,82312.1165502,Yes,404848.041953,26.3830454356,970346.88612,16.0782344639,10932.9449464,60.0,45_and_up,1.0,1033.78637182,15.0,Motorcycle_or_truck,Student_or_Unemployed,687.400247551,0.0,No,train
4496,Yellows,7.0,766.585272902,93547.2747461,Social,255.528424301,No,366.093419948,Yes,Male,By_16:00,0.433646906167,0.515601577936,6.48895904189,5.26785999537,7.26104152156,4.74165873602,4979.0,43.4179414995,580.653808064,4822.24181561,66317.0381891,Yes,134024.392129,24.0967592855,675286.876337,63.8300268678,65560.3040498,70.0,30-45,1.0,855.744408489,3.0,Foot_or_bicycle,Student_or_Unemployed,593.093278473,0.0,No,train
4497,Reds,9.0,435.40635042,89597.7586873,Social,145.13545014,No,617.338896878,No,Female,After_16:00,0.713009577943,0.862798099872,6.69923352078,9.28748398088,2.94368702453,6.63673788309,7237.0,1.95479944814,672.373658517,7518.13628581,80643.7176894,Yes,381107.313598,25.9301688872,905511.275873,55.8193821227,21219.4343375,70.0,30-45,4.0,1022.50200325,4.0,Public_or_other,Public_Sector,711.263641789,0.0,No,train
4499,Yellows,6.0,223.079508018,29002.6145256,Social,74.359836006,No,390.030641316,Yes,Female,After_16:00,0.19244510727,0.477694366127,7.29383324971,5.53407927044,8.12304354738,0.808078215923,8429.0,65.4939091299,589.377136634,5079.06068643,66714.3386514,Yes,152123.901166,24.2770907778,695693.181486,41.602166649,5613.74504684,70.0,Below_30,3.0,850.608722282,11.0,Foot_or_bicycle,Student_or_Unemployed,562.332470358,0.0,No,train
4500,Yellows,6.0,605.048790639,76107.3417442,Environment,201.682930213,No,377.36134468,Yes,Male,By_16:00,0.482132411562,0.470526192803,3.63447187236,6.1157980701,8.56759659713,3.98059722269,3456.0,10.5822771322,575.696700702,4925.0068482,66357.7847918,Yes,142401.584459,23.9936804326,663844.522259,94.2748573376,40887.6872695,90.0,30-45,2.0,857.752423276,9.0,Motorcycle_or_truck,Student_or_Unemployed,603.778516353,1.0,No,train
